creature_id,creature_name,prompt,negative_prompt
27ec4469-0f1f-4fb3-a7b2-935d882eb5b9,Elephant of Silver Naturalistic,"cute figurine style, aggressive elephant character, silver and gold color scheme, roaring with mouth open, subtle fire effects, warm glow, flame accents, savannah background, even lighting, clear visibility, well-made, clear details, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
10c1e930-0ae4-44ce-a55a-e37d48c958d9,Silver Gothic Cube Beast,"dark ornate details, elegant gothic style, proud cube beast character, silver and gold color scheme, roaring with mouth open, small leaves, flower details, natural elements, rift background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
324fd14e-7dcf-43b8-adab-590835b8a877,Aggressive Gold Dolphin,"cute figurine style, aggressive dolphin character, gold and brown color scheme, roaring stance with raised head, electric sparks, lightning details, energy crackling, savannah background, even lighting, clear visibility, well-made, clear details, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
ac584ef5-8545-4e2d-9ca1-568036dc7ce1,Gold Naturalistic Ancient Dragon,"cute figurine style, aggressive ancient dragon character, gold and brown color scheme, roaring stance with raised head, electric sparks, lightning details, energy crackling, grove background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
03144b5a-4c19-4499-9388-c14a82c57f41,Starcloud Dragon of Gold Gothic,"dark ornate details, elegant gothic style, aggressive starcloud dragon character, gold and flame color scheme, roaring with mouth open, jungle background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
26eb1504-1e46-4f2c-a378-725176eb4187,Script Snake of Gold Naturalistic,"cute figurine style, proud script snake character, gold and brown color scheme, roaring stance with raised head, void energy, dark particles, garden background, even lighting, clear visibility, well-made, clear details, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
83712b2d-9f8c-41cb-9748-b69608e43cfb,The Proud Chrono Beast,"cute figurine style, proud chrono beast character, silver and gold color scheme, roaring stance with raised head, shrine background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
b66cbe03-0269-45d0-9b82-2bd95ab11619,The Aggressive Bee,"cute figurine style, aggressive bee character, gold and flame color scheme, fierce roar pose, digital patterns, matrix code, tech patterns, savannah background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
8da75a25-7fdc-4091-9d34-a7e748afbe57,Gold Gothic Moth,"dark ornate details, elegant gothic style, aggressive moth character, gold and flame color scheme, fierce roar pose, electrical sparks, energy bolts, playground background, even lighting, clear visibility, well-made, clear details, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
2211085a-a675-4207-9169-2e666b750d5a,The Aggressive Octopus,"cute figurine style, aggressive octopus character, gold and brown color scheme, fierce roar pose, cliffs background, studio lighting, soft shadows, high quality lighting, very detailed, high quality, great textures, professional, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
06bca742-1919-4ba2-96fd-76e34816397d,Gold Gothic Bee,"dark ornate details, elegant gothic style, aggressive bee character, gold and brown color scheme, fierce roar pose, void energy, dark particles, prism background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
ea24b446-f9d1-4170-8251-274ee080ec54,Proud Gold Lion,"cute figurine style, proud lion character, gold and brown color scheme, roaring with mouth open, subtle fire effects, warm glow, flame accents, forest background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
7aee9fba-4e14-4d76-9acb-743a3fab7340,Gold Gothic Rainbow Spectra,"dark ornate details, elegant gothic style, aggressive rainbow spectra character, gold and brown color scheme, roaring with mouth open, magical sparkles, mystical runes, arcane glow, jungle background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
f9ca4396-0ec6-44f1-a63c-0ab213b6bd25,Silver Gothic Ancient Sigil,"dark ornate details, elegant gothic style, proud ancient sigil character, silver and gold color scheme, roaring stance with raised head, electrical sparks, energy bolts, jungle background, good lighting, soft shadows, detailed, good quality, clean render, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
2d82dd0c-1b6d-4c40-a96a-16118faaee50,Goldwing Googly-eyed Gremlin,"dark ornate details, elegant gothic style, proud googly-eyed gremlin character, gold and flame color scheme, roaring stance with raised head, magical sparkles, mystical runes, arcane glow, archive background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
75f384b4-3900-41f0-a6db-a5dc6680e4c7,Gothic Nebula Serpent of Nebula,"dark ornate details, elegant gothic style, aggressive nebula serpent character, gold and flame color scheme, roaring with mouth open, electrical sparks, energy bolts, marsh background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
bfc4716b-946a-4954-931d-63c0a1ab9d5b,Silver Gothic Thunder Phoenix,"dark ornate details, elegant gothic style, aggressive thunder phoenix character, silver and gold color scheme, roaring with mouth open, digital patterns, matrix code, tech patterns, rift background, even lighting, clear visibility, well-made, clear details, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
fa43312e-bf9e-4e9f-a4ae-48ddf69417b0,Storm Dragon of Silver Naturalistic,"cute figurine style, proud storm dragon character, silver and gold color scheme, fierce roar pose, sound wave effects, musical notes, deep sea background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
1f0101de-eaaf-4e1d-94c5-05a9b0c3cfe0,Naturalistic Golden Radiance of Radiance,"cute figurine style, aggressive golden radiance character, gold and brown color scheme, roaring stance with raised head, electric sparks, lightning details, energy crackling, marsh background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
58f74337-47c7-4e0b-aa21-0a3f56ac9e06,Prismatic Radiance of Silver Naturalistic,"cute figurine style, aggressive prismatic radiance character, silver and gold color scheme, roaring with mouth open, tower background, even lighting, clear visibility, well-made, clear details, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
e8339152-3f21-404b-b86b-acfe4b50b76e,Naturalistic Butterfly of Insect,"cute figurine style, aggressive butterfly character, silver and gold color scheme, fierce roar pose, dimension fold background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
39a051d1-cfb7-4a17-94e8-afb43e72b7d6,Bug Monster of Gold Gothic,"dark ornate details, elegant gothic style, proud bug monster character, gold and brown color scheme, roaring with mouth open, digital patterns, matrix code, tech patterns, volcano background, even lighting, clear visibility, well-made, clear details, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
2973f462-f6d8-4acd-a54a-cac23ed069c9,Pyramid Pet of Silver Naturalistic,"cute figurine style, aggressive pyramid pet character, silver and gold color scheme, roaring stance with raised head, ethereal glow, spiritual wisps, ghostly aura, archive background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
ea2bc6a1-89c2-4aad-9580-6648dbb1a7db,Aggressive Gold Turtle,"dark ornate details, elegant gothic style, aggressive turtle character, gold and brown color scheme, roaring stance with raised head, ethereal glow, spiritual wisps, ghostly aura, tower background, even lighting, clear visibility, well-made, clear details, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
474961cd-6166-44e3-8430-e547944e2244,Gold Naturalistic Script Snake,"cute figurine style, aggressive script snake character, gold and brown color scheme, roaring stance with raised head, sky background, even lighting, clear visibility, well-made, clear details, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
2a243ff5-630e-4f0d-9267-555dffc6535d,The Proud Thunder Phoenix,"dark ornate details, elegant gothic style, proud thunder phoenix character, silver and gold color scheme, roaring with mouth open, chamber background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
6a6325f9-3941-4721-8e06-91e553ca69c2,Aggressive Gold Ant,"dark ornate details, elegant gothic style, aggressive ant character, gold and flame color scheme, fierce roar pose, cyberspace background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
08b04f4a-5b27-4a30-817d-9cba4c4a4ce1,Gothic Holo Tiger of Cyber,"dark ornate details, elegant gothic style, proud holo tiger character, gold and brown color scheme, fierce roar pose, glowing aura, light rays, radiant effect, savannah background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
e6b5826e-2d2a-4275-b4c2-72027cfb4bc5,Naturalistic Goo Blob of Blob,"cute figurine style, proud goo blob character, gold and brown color scheme, fierce roar pose, dark aura, shadow wisps, mysterious glow, dimension fold background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
3a354709-88d8-4e59-bfec-549e6f821757,Aggressive Gold Cherry Blossom,"cute figurine style, aggressive cherry blossom character, gold and flame color scheme, roaring with mouth open, digital patterns, matrix code, tech patterns, mountain background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
c998203c-2fe6-4261-9e67-5894f3ff16c0,Gold Gothic Binary Bug,"dark ornate details, elegant gothic style, aggressive binary bug character, gold and flame color scheme, roaring with mouth open, electric sparks, lightning details, energy crackling, forest background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
21763350-e404-4f9f-9336-8dcc200bc1d3,Silver Gothic Stingray,"dark ornate details, elegant gothic style, aggressive stingray character, silver and gold color scheme, fierce roar pose, frost crystals, icy effects, cold mist, deep sea background, even lighting, clear visibility, well-made, clear details, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
ca33aa11-6c34-441a-a45c-acefc2befac3,The Proud Fractal Beast,"cute figurine style, proud fractal beast character, gold and brown color scheme, roaring with mouth open, toybox background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
57ff8afe-22f5-4883-8e8b-6cb19221448a,The Proud Unicorn,"dark ornate details, elegant gothic style, proud unicorn character, gold and brown color scheme, roaring stance with raised head, glowing aura, light rays, radiant effect, toybox background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
1b72099c-0771-4409-b40d-5844327bb263,Gold Naturalistic Digital Phoenix,"cute figurine style, aggressive digital phoenix character, gold and flame color scheme, roaring with mouth open, sound wave effects, musical notes, terminal background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
e41f42a9-22c5-4efb-818a-66191bd7a1c3,Silver Naturalistic Code Spider,"cute figurine style, proud code spider character, silver and gold color scheme, roaring with mouth open, water droplets, flowing water elements, blue shimmer, reef background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
5fcee444-af90-484e-a85d-6c0d3f34c067,Naturalistic Flexy Fox of Stretchy,"cute figurine style, proud flexy fox character, gold and brown color scheme, fierce roar pose, cave background, even lighting, clear visibility, well-made, clear details, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
de207151-b3cd-4840-9dd9-7a1462e8e266,Goldwing Elephant,"dark ornate details, elegant gothic style, proud elephant character, gold and brown color scheme, roaring stance with raised head, frost crystals, icy effects, cold mist, skyscraper background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
59366ec4-4aee-4927-ad82-1627b5994d86,Flame Phoenix of Silver Gothic,"dark ornate details, elegant gothic style, aggressive flame phoenix character, silver and gold color scheme, roaring with mouth open, nebula background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
9965b434-3447-4198-8ad0-b1b0d047fd03,Silverwing Rhythm Pulse,"cute figurine style, aggressive rhythm pulse character, silver and gold color scheme, roaring with mouth open, magical sparkles, mystical runes, arcane glow, cliffs background, good lighting, soft shadows, detailed, good quality, clean render, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
92867d57-1c71-4485-93b5-f37ec359ac49,Proud Silver Comet Fox,"dark ornate details, elegant gothic style, proud comet fox character, silver and gold color scheme, roaring with mouth open, plateau background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
ad222059-edae-422f-b31c-905ac2430792,Goldwing Shifting Spectra,"dark ornate details, elegant gothic style, proud shifting spectra character, gold and brown color scheme, fierce roar pose, garden background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
8e7a5c2a-e0f4-406c-b750-103674863896,Gothic Hawk of Avian,"dark ornate details, elegant gothic style, proud hawk character, gold and flame color scheme, roaring with mouth open, ethereal glow, spiritual wisps, ghostly aura, toybox background, even lighting, clear visibility, well-made, clear details, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
9be74b39-16bb-4375-82ed-94996c715b7c,Flying Chair of Gold Gothic,"dark ornate details, elegant gothic style, proud flying chair character, gold and flame color scheme, fierce roar pose, ruins background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
83cfd8e2-f57d-4618-9dea-f75a569fe75c,Silverwing Corrupted Sprite,"cute figurine style, proud corrupted sprite character, silver and gold color scheme, roaring with mouth open, water droplets, flowing water elements, blue shimmer, sacred grove background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
a73ec302-7ec7-4794-810b-02fcedc3267f,Cube Beast of Gold Naturalistic,"cute figurine style, proud cube beast character, gold and flame color scheme, roaring with mouth open, arcade background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
4b16db2c-e6e3-4e40-9ba8-d37221366857,Gold Naturalistic Mantis,"cute figurine style, proud mantis character, gold and brown color scheme, roaring stance with raised head, void energy, dark particles, horizon background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
d087196b-3591-4184-aa3c-4f665001852d,Silverwing Gravity Whale,"cute figurine style, proud gravity whale character, silver and gold color scheme, roaring stance with raised head, frost crystals, icy effects, cold mist, plateau background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
40ad96a5-4db4-40a7-85fb-8e16a7d6009f,Goo Blob of Silver Naturalistic,"cute figurine style, aggressive goo blob character, silver and gold color scheme, roaring with mouth open, subtle fire effects, warm glow, flame accents, ruins background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
35db9109-64cf-4e98-aefa-8250aa93dcfd,Silver Naturalistic Energy Pulse,"cute figurine style, aggressive energy pulse character, silver and gold color scheme, roaring with mouth open, void energy, dark particles, toybox background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
98569fd1-3711-4c61-abb7-ecf12d65f145,Proud Gold Phase Shifter,"cute figurine style, proud phase shifter character, gold and flame color scheme, roaring with mouth open, electric sparks, lightning details, energy crackling, playground background, studio lighting, soft shadows, high quality lighting, very detailed, high quality, great textures, professional, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
f49ccb8c-09d0-4ecd-b08c-e562e88058c1,Gold Naturalistic Dragonfly,"cute figurine style, proud dragonfly character, gold and flame color scheme, fierce roar pose, electric sparks, lightning details, energy crackling, dimension fold background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
bd79ae66-6e74-45ea-a88d-727c8e77440a,Proud Silver Talking Toaster,"dark ornate details, elegant gothic style, proud talking toaster character, silver and gold color scheme, fierce roar pose, electric sparks, lightning details, energy crackling, volcano background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
48001734-76e9-44a3-9927-80aa665901ba,Goldwing Jelly Blob,"dark ornate details, elegant gothic style, aggressive jelly blob character, gold and flame color scheme, roaring stance with raised head, kitchen background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
963f48cd-2e28-4b20-965a-a704ce564152,Gold Naturalistic Data Worm,"cute figurine style, proud data worm character, gold and brown color scheme, roaring with mouth open, ethereal glow, spiritual wisps, ghostly aura, arcade background, studio lighting, soft shadows, high quality lighting, very detailed, high quality, great textures, professional, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
a8ff88ee-da9b-4db9-b791-e518f6ad902c,Gold Naturalistic Leopard,"cute figurine style, proud leopard character, gold and brown color scheme, fierce roar pose, subtle fire effects, warm glow, flame accents, archive background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
123ca4a7-c7dd-4f4c-9888-97d817c32b02,Rhythm Pulse of Gold Gothic,"dark ornate details, elegant gothic style, proud rhythm pulse character, gold and brown color scheme, roaring with mouth open, water droplets, flowing water elements, blue shimmer, chronoscape background, even lighting, clear visibility, well-made, clear details, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
