creature_name,body_type,color,activity,mood,quirk,full_prompt
"Ash","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Ash, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Ash","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Ash, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Ash199","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Ash199, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Ash199","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Ash199, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Ash199","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Ash199, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Astrid","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Astrid, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Astrid","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Astrid, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Astrid","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Astrid, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Athena","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Athena, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Athena","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Athena, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Athena","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Athena, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Atlas","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Atlas, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Atlas","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Atlas, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Atlas","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Atlas, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Atlas753","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Atlas753, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Atlas753","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Atlas753, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Atlas753","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Atlas753, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Axel","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Axel, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Axel","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Axel, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Axel","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Axel, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Axel616","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Axel616, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Axel616","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Axel616, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Axel616","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Axel616, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Bay","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Bay, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Bay","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Bay, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Bay","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Bay, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Bea","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Bea, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Bea","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Bea, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Bea","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Bea, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Bella","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Bella, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Bella","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Bella, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Bella","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Bella, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Bella042","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Bella042, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
